1100	11	北京
1200	12	天津
1301	13	石家庄
1302	13	保定
1303	13	沧州
1304	13	承德
1305	13	邯郸
1306	13	衡水
1307	13	廊坊
1308	13	秦皇岛
1309	13	唐山
1310	13	邢台
1311	13	张家口
1401	14	太原
1402	14	长治
1403	14	大同
1404	14	晋城
1405	14	离石
1406	14	临汾
1407	14	朔州
1408	14	忻州
1409	14	阳泉
1410	14	榆次
1411	14	运城
1412	14	晋中
1413	14	吕梁
1501	15	呼和浩特
1502	15	包头
1503	15	阿拉善
1504	15	巴彦淖尔
1505	15	赤峰
1506	15	呼伦贝尔
1507	15	乌海
1508	15	乌兰察布
1509	15	锡林郭勒
1510	15	兴安
1511	15	鄂尔多斯
1512	15	通辽
2101	21	沈阳
2102	21	大连
2103	21	鞍山
2104	21	本溪
2105	21	朝阳
2106	21	丹东
2107	21	抚顺
2108	21	阜新
2109	21	葫芦岛
2110	21	锦州
2111	21	辽阳
2112	21	盘锦
2113	21	铁岭
2114	21	营口
2201	22	长春
2202	22	白城
2203	22	白山
2204	22	吉林
2205	22	辽源
2206	22	四平
2207	22	松原
2208	22	通化
2209	22	延边
4212	42	孝感
4213	42	神农架
4214	42	天门
4215	42	宜昌
4216	42	三峡
4301	43	长沙
4302	43	常德
4303	43	郴州
4304	43	衡阳
4305	43	怀化
4306	43	娄底
4307	43	邵阳
4308	43	湘潭
4309	43	湘西
4310	43	益阳
4311	43	永州
4312	43	岳阳
4313	43	张家界
4314	43	株洲
4401	44	广州
4402	44	深圳
4403	44	潮州
4404	44	东莞
4405	44	佛山
4406	44	惠州
4407	44	江门
4408	44	揭阳
4409	44	茂名
4410	44	梅州
4411	44	清远
4412	44	汕头
4413	44	汕尾
4414	44	韶关
4415	44	阳江
4416	44	云浮
4417	44	湛江
4418	44	肇庆
4419	44	中山
4420	44	河源
4421	44	珠海
4501	45	南宁
4502	45	百色
4503	45	北海
4504	45	桂林
4505	45	河池
4506	45	柳州
4507	45	梧州
4508	45	玉林
4509	45	崇左
4510	45	防城港
4511	45	贵港
4512	45	贺州
4513	45	来宾
4514	45	钦州
4601	46	海口
4602	46	三亚
4603	46	白沙
4604	46	保亭
4605	46	昌江
4606	46	澄迈
4607	46	儋州
2301	23	哈尔滨
2302	23	大庆
2303	23	大兴安岭
2304	23	鹤岗
2305	23	黑河
2306	23	鸡西
2307	23	佳木斯
2308	23	牡丹江
2309	23	七台河
2310	23	齐齐哈尔
2311	23	双鸭山
2312	23	绥化
2313	23	伊春
3100	31	上海
3201	32	南京
3202	32	常州
3203	32	淮安
3204	32	连云港
3205	32	南通
3206	32	苏州
3207	32	宿迁
3208	32	泰州
3209	32	无锡
3210	32	徐州
3211	32	盐城
3212	32	扬州
3213	32	镇江
3214	32	胥浦
3301	33	杭州
3302	33	宁波
3303	33	湖州
3304	33	嘉兴
3305	33	金华
3306	33	绍兴
3307	33	台州
3308	33	温州
3309	33	舟山
3310	33	衢州
3311	33	丽水
3401	34	合肥
3402	34	安庆
3403	34	蚌埠
3404	34	巢湖
3405	34	池州
3406	34	滁州
3407	34	阜阳
